Unnamed: 0,resp_id,any_missing,party_lean,gender,highest_edu,trust_gov_dc_V241229,trust_court_system_V241230,corrupt_officials_V241233,trust_people_V241234,trust_election_officials_V241315,trust_judiciary_V242419,trust_gov_V242418,trust_congress_V242417,trust_news_media_V241335,trust_social_media_V242422,trust_parties_V242421,trust_scientists_V242420,x,y
194,140255,False,Strong Rep,Female,Bachelors,3,2,3,3,1,2,3,2,1,3,2,2,-26.584496,-56.729744
195,140258,False,Not strong Dem,Female,Some college,4,4,2,3,4,3,3,3,2,3,3,2,69.68804,48.656036
196,140259,False,Strong Rep,Female,Bachelors,4,4,2,4,3,2,3,3,5,3,4,1,12.477897,31.666258
197,140261,False,Strong Rep,Male,Some college,3,4,2,4,2,3,3,3,5,2,3,2,29.877104,46.288216
198,140263,False,Not strong Dem,Male,Advanced Degree,4,3,4,2,5,2,3,3,3,1,4,1,-4.6579576,31.230165
199,140264,False,Lean Dem,Male,Some college,4,3,2,2,3,2,4,3,2,3,3,2,27.52195,-30.312038
200,140266,False,Lean Dem,Female,HS,4,4,2,4,5,2,3,2,5,2,3,1,-51.450043,-8.167935
201,140267,False,Strong Rep,Female,Some college,3,3,3,2,3,2,3,2,1,4,2,2,-13.106999,-80.2216
202,140268,False,Lean Rep,Male,Bachelors,4,3,4,2,2,3,3,2,1,4,3,2,21.154867,-76.76424
203,140269,False,Strong Rep,Male,Bachelors,3,2,4,2,3,2,2,3,2,2,3,2,-43.178204,56.390682
204,140270,False,Strong Rep,Female,Advanced Degree,4,3,3,2,3,2,3,3,1,3,3,1,13.283271,-19.648176
205,140271,False,Strong Dem,Male,Bachelors,3,4,4,2,5,3,3,4,3,4,3,1,26.750263,76.514084
206,140273,False,Lean Dem,Female,Advanced Degree,5,5,2,4,2,3,4,3,1,3,4,2,66.59553,21.86541
207,140274,False,Strong Rep,Male,Some college,3,3,2,2,3,2,3,3,3,2,3,2,13.284654,0.5378602
208,140275,False,Not strong Dem,Female,Bachelors,2,2,4,2,5,2,3,3,3,2,2,1,-80.63264,34.40889
209,140276,False,Lean Rep,Female,Bachelors,4,2,2,3,4,2,3,3,2,4,4,2,22.95499,-20.375002
210,140277,False,Lean Rep,Male,Advanced Degree,4,3,3,2,1,3,3,3,1,4,3,2,17.434036,-18.40211
211,140278,False,Strong Rep,Male,Some college,5,5,2,2,1,2,3,2,1,3,2,2,14.852553,-66.39795
212,140279,False,Strong Dem,Male,Some college,2,2,4,2,5,3,2,2,4,2,2,1,-65.91641,31.267036
213,140280,False,Strong Dem,Female,Bachelors,4,4,3,3,4,2,2,2,3,3,2,1,-30.419847,-45.70666
214,140281,False,Lean Rep,Male,Some college,4,4,2,4,4,2,3,2,3,2,3,3,-8.211708,-38.15157
215,140282,False,Strong Dem,Female,Some college,3,4,4,2,5,1,2,2,3,2,2,1,-68.019714,3.5841703
216,140283,False,Strong Dem,Female,Bachelors,2,2,4,2,5,1,2,2,3,2,2,1,-81.9072,-3.0924633
217,140286,False,Lean Rep,Female,Some college,5,3,2,4,2,2,4,4,1,4,4,3,47.49974,-20.9458
218,140287,False,Strong Dem,Male,Bachelors,3,2,4,3,4,2,2,3,2,3,3,2,-11.487075,2.7904172
219,140288,False,Independent,Female,Some college,5,5,1,5,3,3,3,3,3,3,3,1,72.35815,32.222668
220,140289,False,Not strong Rep,Male,Some college,2,2,4,2,4,2,2,2,3,2,2,2,-67.191246,-44.31258
221,140290,False,Not strong Rep,Female,Advanced Degree,5,5,2,3,1,3,3,3,2,3,3,3,80.97933,-12.383048
222,140291,False,Strong Dem,Female,Advanced Degree,4,4,4,2,5,2,3,2,4,1,2,1,-44.04421,10.392711
223,140292,False,Not strong Dem,Male,Advanced Degree,4,4,3,4,3,4,4,4,3,3,4,1,45.054302,57.858406
224,140293,False,Lean Dem,Female,Some college,2,2,4,4,5,2,3,3,2,2,3,2,0.3540966,8.349224
225,140294,False,Strong Rep,Female,HS,3,4,4,2,5,2,2,2,2,3,3,1,-45.276287,24.365917
226,140295,False,Lean Dem,Female,Advanced Degree,3,3,3,2,4,2,2,2,2,2,2,1,-86.055176,-16.270042
227,140296,False,Strong Dem,Male,Bachelors,2,3,4,2,5,2,2,2,3,2,2,2,-72.85363,-39.70433
228,140297,False,Lean Dem,Male,Some college,3,4,4,2,5,2,4,4,5,1,4,2,0.18812458,44.324593
